id,title,location,property_type,listed_price_etb,listed_price_usd,size_sqm,bedrooms,bathrooms,amenities_count,completeness_score,description_length,risk_label,image_url,source_platform,listing_url,source_note
1,3+ YEARS ON JIJI,Arada,Apartment,180000,3158,100,2,2,2,0.95,214,normal,https://pictures-ethiopia.jijistatic.com/11196304_MzAwLTMwMC0yMTUyNGJiYjJk.webp,Jiji Ethiopia,https://jiji.com.et/arada/new-builds/diaspora-opportunity-buy-a-luxury-apartment-with-flexible-payment-g64BBUe3iVIGfktYSIDVaVYj.html?page=1&pos=1&cur_pos=1&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=0,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
2,"ETB 169,000 per month 4bdrm Apartment in Kazanchis, Kirkos for rent Modern, Luxury and Spa",Kirkos,Apartment,169000,2965,100,4,4,2,0.95,189,normal,https://pictures-ethiopia.jijistatic.com/11700978_MzAwLTE1Ny0xYjM1NGE4N2Vj.webp,Jiji Ethiopia,https://jiji.com.et/kirkos/houses-apartments-for-rent/4bdrm-apartment-in-kazanchis-kirkos-for-rent-pkK2yU5zeRcVt7SR3QFki2kx.html?page=1&pos=4&cur_pos=4&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=3,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
3,3+ YEARS ON JIJI,Bole,Property,300000,5263,100,2,2,2,0.9,109,normal,https://pictures-ethiopia.jijistatic.com/10581336_MzAwLTEzNS1mZjA5MWUwMGFj.webp,Jiji Ethiopia,https://jiji.com.et/bole/commercial-property-for-rent/yamikarayi-magzen-92FywrcdxbOmIk6Ddb94cNOo.html?page=1&pos=7&cur_pos=7&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=6,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
4,3+ YEARS ON JIJI DIAMOND,Bole,Apartment,250000,4386,100,3,3,2,0.95,199,normal,https://pictures-ethiopia.jijistatic.com/9783715_MzAwLTQwMC0yODIyZTNhNzRm.webp,Jiji Ethiopia,https://jiji.com.et/bole/houses-apartments-for-rent/furnished-3bdrm-duplex-in-bole-for-rent-aqomP6XrBhDQQ3FRWllMvkJH.html?page=1&pos=10&cur_pos=10&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=9,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
5,3+ YEARS ON JIJI DIAMOND,Bole,Apartment,90000,1579,100,2,2,2,0.95,206,normal,https://pictures-ethiopia.jijistatic.com/9850744_MzAwLTIyNS1hOTI0OTAwNmJl.webp,Jiji Ethiopia,https://jiji.com.et/bole/houses-apartments-for-rent/furnished-2bdrm-apartment-in-bole-for-rent-6D86ZKFXzknL5b59B0ctjNMI.html?page=1&pos=13&cur_pos=13&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=12,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
6,3+ YEARS ON JIJI DIAMOND,Bole,Apartment,150000,2632,100,1,1,2,0.95,206,normal,https://pictures-ethiopia.jijistatic.com/10435500_MzAwLTQwMC0wMjczNzYxYzhm.webp,Jiji Ethiopia,https://jiji.com.et/bole/houses-apartments-for-rent/furnished-1bdrm-apartment-in-bole-for-rent-64cddc2VMopc1JJro6057SkX.html?page=1&pos=16&cur_pos=16&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=15,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
7,3+ YEARS ON JIJI DIAMOND,Bole,Apartment,85000,1491,100,3,3,2,0.95,192,normal,https://pictures-ethiopia.jijistatic.com/10569277_MzAwLTIyNS00MjMzNzA4YjJh.webp,Jiji Ethiopia,https://jiji.com.et/bole/houses-apartments-for-rent/3bdrm-apartment-in-bole-for-rent-oOCP4xbBmTp56hTcKsGTQr0D.html?page=1&pos=19&cur_pos=19&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=18,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
8,3+ YEARS ON JIJI,Yeka,Commercial,130000,2281,180,2,2,2,0.9,122,normal,https://pictures-ethiopia.jijistatic.com/4760337_MzAwLTEzNS1kNzNjZWY4OWQw.webp,Jiji Ethiopia,https://jiji.com.et/yeka/commercial-property-for-rent/a-warehouse-for-rent-in-the-area-f6dAOeEaEFwWwn3Y8D6pilmx.html?page=1&pos=22&cur_pos=22&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=21,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
9,3+ YEARS ON JIJI,Akaky Kaliti,Commercial,220000,3860,250,2,2,2,0.9,126,normal,https://pictures-ethiopia.jijistatic.com/4822984_MzAwLTEzNS03ZjhmMzc1Mjg1.webp,Jiji Ethiopia,https://jiji.com.et/akaky-kaliti/commercial-property-for-rent/warehouse-for-rent-in-kaliti-61MjvzTIgMf5FzQ0H30rbXqN.html?page=2&pos=1&cur_pos=1&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=24,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
10,"ETB 180,000 የሚከራይ መጋዘን አያት አከባቢ በቂ ቢሮ ጋር Warehouse for Rent in Ayat Addis Ababa Warshouse ",Yeka,Commercial,180000,3158,6000,2,2,2,0.95,218,normal,https://pictures-ethiopia.jijistatic.com/9050668_MzAwLTE0MC01YzNjZGI4MWFl.webp,Jiji Ethiopia,https://jiji.com.et/yeka/commercial-property-for-rent/yamikaraaye-magaazane-ayaate-akabaabi-baqi-biro-gaare-warehouse-for-rent-in-ayat-addis-ababa-2P2UXNbeKpYbmfIQ9cTfCM66.html?page=2&pos=3&cur_pos=3&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=26,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
